#2021-07-13 22:29:34.375;RpoN_42˚C-6min_RepMerge.bam;READ1
chrom	index	forward	reverse	value
ec2	8945	1	0	1
ec2	9003	0	1	1
ec2	9115	1	0	1
ec2	9245	0	1	1
ec2	9246	1	0	1
ec2	9282	1	0	1
ec2	9338	1	0	1
ec2	9340	1	0	1
ec2	9380	1	0	1
ec2	9512	1	0	1
ec2	9615	1	0	1
ec2	9618	0	1	1
ec2	9679	1	0	1
ec2	9712	1	0	1
ec2	9949	0	1	1
ec2	9980	1	0	1
ec2	9983	1	0	1
ec2	10044	1	0	1
ec2	10057	1	0	1
ec2	10247	0	1	1
ec2	10253	1	0	1
ec2	10268	0	1	1
ec2	10371	0	1	1
ec2	10395	0	1	1
ec2	10397	0	1	1
ec2	10420	0	2	2
ec2	10690	1	0	1
ec2	10725	0	1	1
ec2	10862	0	1	1
ec2	10863	1	0	1
ec2	10995	1	1	2
ec2	11049	1	0	1
ec2	11066	0	1	1
ec2	11106	0	1	1
ec2	11129	1	0	1
ec2	11277	0	1	1
ec2	11313	0	1	1
ec2	11339	1	0	1
ec2	11412	0	1	1
ec2	11497	0	1	1
ec2	11505	1	0	1
ec2	11605	0	1	1
ec2	11752	0	1	1
ec2	11775	1	0	1
ec2	11902	1	0	1
ec2	12012	1	0	1
ec2	12085	0	1	1
ec2	12108	0	1	1
ec2	12342	0	1	1
ec2	12389	0	1	1
ec2	12495	1	0	1
ec2	12513	1	0	1
ec2	12528	1	0	1
ec2	12560	0	1	1
ec2	12621	0	1	1
ec2	12656	0	1	1
ec2	12709	0	1	1
ec2	12724	1	0	1
ec2	12730	2	0	2
ec2	12819	1	0	1
ec2	12824	1	0	1
ec2	12896	1	0	1
ec2	12924	1	0	1
ec2	13045	0	1	1
ec2	13120	1	0	1
ec2	13132	0	1	1
ec2	13176	1	0	1
ec2	13200	1	0	1
ec2	13250	0	1	1
ec2	13282	0	1	1
ec2	13331	1	0	1
ec2	13388	1	0	1
ec2	13394	0	1	1
ec2	13436	1	0	1
ec2	13570	0	1	1
ec2	13598	1	0	1
ec2	13707	1	0	1
ec2	13815	0	1	1
ec2	13836	1	0	1
ec2	13871	1	0	1
ec2	13895	0	1	1
ec2	13922	0	1	1
ec2	13931	0	1	1
ec2	13976	0	1	1
ec2	14012	0	1	1
ec2	14144	0	1	1
ec2	14220	1	0	1
ec2	14363	0	1	1
ec2	14394	0	1	1
ec2	14399	0	1	1
ec2	14416	0	1	1
ec2	14421	1	0	1
ec2	14469	1	0	1
ec2	14486	1	0	1
ec2	14579	0	1	1
ec2	14614	1	0	1
ec2	14669	1	0	1
ec2	14792	1	0	1
ec2	14915	1	0	1
ec2	15058	0	1	1
ec2	15120	0	1	1
ec2	15274	1	0	1
ec2	15310	1	0	1
ec2	15456	0	1	1
ec2	15556	1	0	1
ec2	15639	1	0	1
ec2	15757	1	0	1
ec2	15792	0	1	1
ec2	15903	0	1	1
ec2	16035	1	0	1
ec2	16048	0	1	1
ec2	16188	1	0	1
ec2	16287	0	1	1
ec2	16372	0	1	1
ec2	16511	1	0	1
ec2	16532	0	1	1
ec2	16548	0	1	1
ec2	16574	0	1	1
ec2	16666	0	1	1
ec2	16670	1	0	1
ec2	16675	1	0	1
ec2	16713	0	1	1
ec2	16915	1	0	1
ec2	16940	1	0	1
ec2	16959	0	1	1
ec2	17013	0	1	1
ec2	17133	0	1	1
ec2	17305	0	1	1
ec2	17476	0	1	1
ec2	17581	1	0	1
ec2	17719	1	0	1
ec2	17738	0	1	1
ec2	17773	0	1	1
ec2	17921	1	0	1
ec2	17950	1	0	1
ec2	17965	1	0	1
ec2	18015	0	1	1
ec2	18046	0	1	1
ec2	18060	0	1	1
ec2	18101	0	1	1
ec2	18120	0	1	1
ec2	18182	1	0	1
ec2	18273	0	1	1
ec2	18322	1	0	1
ec2	18430	0	1	1
ec2	18503	0	1	1
ec2	18526	0	1	1
ec2	18533	1	0	1
ec2	18591	0	1	1
ec2	18615	1	0	1
ec2	18673	1	0	1
ec2	18762	1	0	1
ec2	18874	1	0	1
ec2	18892	0	1	1
ec2	18912	1	0	1
ec2	18928	0	1	1
ec2	19027	0	1	1
ec2	19028	0	1	1
ec2	19031	0	1	1
ec2	19047	0	1	1
ec2	19091	1	0	1
ec2	19096	1	0	1
ec2	19232	0	1	1
ec2	19306	0	1	1
ec2	19355	0	1	1
ec2	19392	0	1	1
ec2	19476	0	1	1
ec2	19500	0	1	1
ec2	19557	1	0	1
ec2	19570	0	1	1
ec2	19622	0	1	1
ec2	19678	1	0	1
ec2	19679	2	0	2
ec2	19693	0	1	1
ec2	19769	1	0	1
ec2	19793	0	1	1
ec2	19841	1	0	1
ec2	19870	1	0	1
ec2	19899	1	0	1
ec2	20015	0	1	1
ec2	20090	0	1	1
ec2	20251	1	0	1
ec2	20528	0	1	1
ec2	20543	0	1	1
ec2	20622	1	0	1
ec2	20841	0	1	1
ec2	20885	0	1	1
ec2	20949	1	0	1
ec2	20983	0	1	1
ec2	21007	0	1	1
ec2	21026	1	0	1
ec2	21050	1	0	1
ec2	21051	1	0	1
ec2	21054	0	1	1
ec2	21116	1	0	1
ec2	21119	0	1	1
ec2	21125	1	0	1
ec2	21131	0	1	1
ec2	21171	1	0	1
ec2	21192	1	0	1
ec2	21210	1	0	1
ec2	21225	0	1	1
ec2	21327	0	1	1
ec2	21360	1	0	1
ec2	21378	1	0	1
ec2	21440	0	1	1
ec2	21450	0	1	1
ec2	21520	0	1	1
ec2	21523	0	1	1
ec2	21630	1	0	1
ec2	21709	0	1	1
ec2	21747	1	0	1
ec2	21751	1	0	1
ec2	21891	1	0	1
ec2	21894	0	1	1
ec2	22023	0	1	1
ec2	22142	1	0	1
ec2	22286	0	1	1
ec2	22349	1	0	1
ec2	22429	0	1	1
ec2	22432	0	1	1
ec2	22501	1	0	1
ec2	22558	0	1	1
ec2	22730	1	0	1
ec2	22774	0	1	1
ec2	22842	1	0	1
ec2	22857	0	1	1
ec2	22888	0	1	1
ec2	22908	0	1	1
ec2	22931	1	0	1
ec2	22949	1	0	1
ec2	23048	0	1	1
ec2	23375	0	1	1
ec2	23384	0	1	1
ec2	23564	1	0	1
ec2	23697	0	1	1
ec2	23780	1	0	1
ec2	23840	1	0	1
ec2	24007	1	0	1
ec2	24015	1	0	1
ec2	24169	0	1	1
ec2	24278	0	1	1
ec2	24348	0	1	1
ec2	24379	1	0	1
ec2	24480	0	1	1
ec2	24508	1	0	1
ec2	24669	1	1	2
ec2	24683	0	1	1
ec2	24716	0	1	1
ec2	24811	0	1	1
ec2	24933	1	0	1
ec2	24940	0	1	1
ec2	24972	1	0	1
ec2	24988	0	1	1
ec2	25071	0	1	1
ec2	25181	1	0	1
ec2	25226	1	0	1
ec2	25284	1	0	1
ec2	25289	1	0	1
ec2	25305	0	1	1
ec2	25364	1	0	1
ec2	25389	0	1	1
ec2	25456	1	0	1
ec2	25486	0	1	1
ec2	25562	0	1	1
ec2	25610	1	0	1
ec2	25633	1	0	1
ec2	25765	1	0	1
ec2	25818	0	1	1
ec2	25892	0	1	1
ec2	25942	1	0	1
ec2	25963	0	1	1
ec2	25990	0	1	1
ec2	26051	0	1	1
ec2	26105	0	1	1
ec2	26136	0	1	1
ec2	26264	1	0	1
ec2	26280	0	1	1
ec2	26288	1	0	1
ec2	26435	1	0	1
ec2	26617	0	1	1
ec2	26767	1	0	1
ec2	26881	1	0	1
ec2	26904	0	1	1
ec2	27099	1	0	1
ec2	27121	1	0	1
ec2	27280	1	0	1
ec2	27320	1	0	1
ec2	27502	1	0	1
ec2	27512	0	1	1
ec2	27646	0	1	1
ec2	27701	1	0	1
ec2	27848	1	0	1
ec2	27853	0	1	1
ec2	27952	0	1	1
ec2	28030	1	0	1
ec2	28033	0	1	1
ec2	28094	1	0	1
ec2	28211	1	0	1
ec2	28215	1	0	1
ec2	28305	1	0	1
ec2	28312	0	1	1
ec2	28327	0	1	1
ec2	28350	1	0	1
ec2	28381	0	1	1
ec2	28459	1	0	1
ec2	28619	1	0	1
ec2	28642	1	0	1
ec2	28779	0	1	1
ec2	28832	1	0	1
ec2	28838	1	0	1
ec2	28969	1	0	1
ec2	28976	0	1	1
ec2	28980	1	0	1
ec2	29011	1	0	1
ec2	29031	0	1	1
ec2	29032	0	1	1
ec2	29243	1	0	1
ec2	29357	0	1	1
ec2	29423	0	1	1
ec2	29557	0	1	1
ec2	29589	1	0	1
ec2	29679	0	1	1
ec2	29905	1	0	1
ec2	29945	0	1	1
ec2	30020	0	1	1
ec2	30102	0	1	1
ec2	30109	1	0	1
ec2	30115	1	0	1
ec2	30124	3	0	3
ec2	30135	0	1	1
ec2	30140	0	1	1
ec2	30152	0	1	1
ec2	30209	0	1	1
ec2	30217	1	0	1
ec2	30234	0	1	1
ec2	30277	0	1	1
ec2	30289	0	1	1
ec2	30334	0	1	1
ec2	30348	0	1	1
ec2	30362	1	0	1
ec2	30397	0	1	1
ec2	30791	1	0	1
ec2	30821	1	0	1
ec2	30956	0	1	1
ec2	31144	0	1	1
ec2	31196	0	1	1
ec2	31594	0	1	1
ec2	31932	0	1	1
ec2	32126	1	0	1
ec2	32179	0	1	1
ec2	32271	1	0	1
ec2	32473	1	0	1
ec2	32697	1	0	1
ec2	32698	0	1	1
ec2	32808	0	1	1
ec2	32815	1	0	1
ec2	32832	0	1	1
ec2	32908	1	0	1
ec2	32987	0	1	1
ec2	33089	0	1	1
ec2	33096	1	0	1
ec2	33114	1	0	1
ec2	33129	1	0	1
ec2	33182	1	0	1
ec2	33257	0	1	1
ec2	33276	1	0	1
ec2	33280	1	0	1
ec2	33281	0	1	1
ec2	33293	0	1	1
ec2	33297	0	1	1
ec2	33299	0	1	1
ec2	33300	0	1	1
ec2	33326	0	1	1
ec2	33331	0	1	1
ec2	33336	0	1	1
ec2	33355	0	1	1
ec2	33555	1	0	1
ec2	33563	1	0	1
ec2	33575	0	1	1
ec2	33606	0	1	1
ec2	33887	0	1	1
ec2	33902	0	1	1
ec2	33927	1	0	1
ec2	33974	0	1	1
ec2	33984	1	0	1
ec2	33991	1	0	1
ec2	34007	1	0	1
ec2	34034	1	0	1
ec2	34045	0	1	1
ec2	34128	0	1	1
ec2	34269	0	1	1
ec2	34522	1	0	1
ec2	34688	1	0	1
ec2	34879	0	1	1
ec2	34976	1	0	1
ec2	35086	0	1	1
ec2	35208	2	0	2
ec2	35249	0	1	1
ec2	35298	0	1	1
ec2	35531	0	1	1
ec2	35629	0	1	1
ec2	35683	1	0	1
ec2	35720	0	1	1
ec2	35884	0	1	1
ec2	35903	1	0	1
ec2	35944	0	1	1
ec2	35955	1	0	1
ec2	36243	0	1	1
ec2	36302	0	1	1
ec2	36325	0	1	1
ec2	36326	1	0	1
ec2	36334	0	1	1
ec2	36385	0	1	1
ec2	36433	0	1	1
ec2	36438	0	1	1
ec2	36525	0	1	1
ec2	36750	0	1	1
ec2	36777	1	0	1
ec2	36799	0	1	1
ec2	36825	0	1	1
ec2	36931	0	1	1
ec2	36967	0	1	1
ec2	37181	0	1	1
ec2	37231	0	1	1
ec2	37245	1	0	1
ec2	37319	1	0	1
ec2	37374	0	1	1
ec2	37522	0	1	1
ec2	37678	1	0	1
ec2	37690	1	0	1
ec2	37706	0	2	2
ec2	37884	1	0	1
ec2	37914	1	0	1
ec2	37916	0	1	1
ec2	37933	1	0	1
ec2	38005	0	1	1
ec2	38013	0	1	1
ec2	38040	0	1	1
ec2	38274	1	0	1
ec2	38301	1	0	1
ec2	38323	1	0	1
ec2	38353	1	0	1
ec2	38417	0	1	1
ec2	38723	1	0	1
ec2	38867	0	1	1
ec2	38885	1	0	1
ec2	38987	0	1	1
ec2	39171	1	0	1
ec2	39272	1	0	1
ec2	39369	0	1	1
ec2	39417	0	1	1
ec2	39526	1	0	1
ec2	39548	0	1	1
ec2	39884	1	0	1
ec2	39939	0	1	1
ec2	40043	1	0	1
ec2	40183	0	1	1
ec2	40386	1	0	1
ec2	40566	1	0	1
ec2	40568	1	0	1
ec2	40642	0	1	1
ec2	40757	1	0	1
ec2	40858	1	0	1
ec2	40893	1	0	1
ec2	41249	0	1	1
ec2	41333	0	1	1
ec2	41374	1	0	1
ec2	41394	0	1	1
ec2	41425	0	1	1
ec2	41681	1	0	1
ec2	41689	1	0	1
ec2	41700	1	0	1
ec2	41716	0	1	1
ec2	41801	1	0	1
ec2	41852	1	0	1
ec2	41878	1	0	1
ec2	41900	0	1	1
ec2	42168	0	1	1
ec2	42187	0	1	1
ec2	42233	1	0	1
ec2	42274	0	1	1
ec2	42322	1	0	1
ec2	42341	1	0	1
ec2	42375	1	0	1
ec2	42402	1	0	1
ec2	42404	1	0	1
ec2	42421	1	0	1
ec2	42427	0	1	1
ec2	42439	0	1	1
ec2	42458	1	0	1
ec2	42477	1	0	1
ec2	42478	1	0	1
ec2	42484	1	0	1
ec2	42537	0	1	1
ec2	42538	0	1	1
ec2	42560	0	1	1
ec2	42562	0	1	1
ec2	42579	1	0	1
ec2	42652	0	1	1
ec2	42718	0	1	1
ec2	42722	1	0	1
ec2	42765	0	1	1
ec2	42793	1	0	1
ec2	42937	1	0	1
ec2	43061	0	1	1
ec2	43499	1	0	1
ec2	43578	1	0	1
ec2	43622	1	0	1
ec2	43650	1	0	1
ec2	43737	0	1	1
ec2	43762	0	1	1
ec2	43798	1	0	1
ec2	43805	0	1	1
ec2	43828	0	1	1
ec2	43890	0	1	1
ec2	43983	1	0	1
ec2	43998	0	1	1
ec2	44068	1	0	1
ec2	44187	0	1	1
ec2	44224	1	0	1
ec2	44236	1	0	1
ec2	44251	1	0	1
ec2	44374	1	0	1
ec2	44406	0	1	1
ec2	44507	0	1	1
ec2	44557	0	1	1
ec2	44755	0	1	1
ec2	44834	1	0	1
ec2	44881	1	0	1
ec2	44888	1	0	1
ec2	44993	1	0	1
ec2	44998	0	1	1
ec2	45064	0	1	1
ec2	45106	1	0	1
ec2	45167	0	1	1
ec2	45180	0	1	1
ec2	45286	0	1	1
ec2	45322	1	0	1
ec2	45453	1	0	1
ec2	45507	0	1	1
ec2	45572	1	0	1
ec2	45715	1	0	1
ec2	45752	0	1	1
ec2	45766	0	1	1
ec2	45896	1	0	1
ec2	45991	1	0	1
ec2	45996	1	0	1
ec2	46406	1	0	1
ec2	46521	0	1	1
ec2	46553	1	0	1
ec2	46677	1	0	1
ec2	46726	1	0	1
ec2	46757	0	1	1
ec2	46867	0	1	1
ec2	46907	0	1	1
ec2	47046	0	1	1
ec2	47054	0	1	1
ec2	47107	1	0	1
ec2	47131	0	1	1
ec2	47317	0	1	1
ec2	47510	0	1	1
ec2	47569	0	1	1
ec2	47597	0	1	1
ec2	47637	1	0	1
ec2	47802	0	1	1
ec2	47939	0	1	1
ec2	48056	0	1	1
ec2	48187	1	0	1
ec2	48286	1	0	1
ec2	48405	1	0	1
ec2	48469	0	1	1
ec2	48492	0	1	1
ec2	48501	1	0	1
ec2	48507	0	1	1
ec2	48509	1	0	1
ec2	48524	1	0	1
ec2	48532	2	0	2
ec2	48536	0	1	1
ec2	48539	1	0	1
ec2	48557	0	1	1
ec2	48572	1	0	1
ec2	48593	1	0	1
ec2	48616	1	0	1
ec2	48617	0	1	1
ec2	48621	1	0	1
ec2	48622	0	1	1
ec2	48629	2	0	2
ec2	48634	1	0	1
ec2	48640	1	0	1
ec2	48642	1	1	2
ec2	48643	1	1	2
ec2	48646	0	1	1
ec2	48648	0	1	1
ec2	48649	0	1	1
ec2	48650	0	1	1
ec2	48670	0	1	1
ec2	48675	1	0	1
ec2	48713	0	1	1
ec2	48721	0	1	1
ec2	48724	0	1	1
ec2	48757	0	1	1
ec2	48768	0	1	1
ec2	48795	0	1	1
ec2	48806	0	1	1
ec2	48825	0	1	1
ec2	48826	1	0	1
ec2	48851	1	0	1
ec2	48948	0	1	1
ec2	48996	0	1	1
ec2	49045	0	1	1
ec2	49059	1	0	1
ec2	49069	1	0	1
ec2	49114	0	1	1
ec2	49130	0	1	1
ec2	49154	0	1	1
ec2	49332	0	1	1
ec2	49339	1	0	1
ec2	49341	2	0	2
ec2	49375	1	0	1
ec2	49390	0	1	1
ec2	49761	0	1	1
ec2	49815	1	1	2
ec2	49860	0	1	1
ec2	49938	0	1	1
ec2	49970	0	1	1
ec2	49974	0	1	1
ec2	50100	0	1	1
ec2	50250	0	1	1
ec2	50295	0	1	1
ec2	50378	1	0	1
ec2	50398	1	0	1
ec2	50509	0	1	1
ec2	50521	1	0	1
ec2	50645	1	0	1
ec2	50647	1	0	1
ec2	50767	0	1	1
ec2	50786	0	1	1
ec2	50808	1	0	1
ec2	50835	1	0	1
ec2	50910	1	0	1
ec2	51107	1	0	1
ec2	51118	0	1	1
ec2	51193	0	1	1
ec2	51199	1	0	1
ec2	51362	0	1	1
ec2	51373	1	0	1
ec2	51458	0	1	1
ec2	51506	1	0	1
ec2	51563	0	1	1
ec2	51680	1	0	1
ec2	51682	1	0	1
ec2	51884	0	1	1
ec2	51909	0	1	1
ec2	51912	1	0	1
ec2	51934	1	0	1
ec2	51989	1	0	1
ec2	52035	1	0	1
ec2	52080	0	1	1
ec2	52246	1	0	1
ec2	52288	1	0	1
ec2	52744	1	0	1
ec2	52818	1	0	1
ec2	52982	1	0	1
ec2	53144	0	1	1
ec2	53258	2	0	2
ec2	53330	0	1	1
ec2	53343	0	1	1
ec2	53408	1	0	1
ec2	53461	1	0	1
ec2	53468	0	1	1
ec2	53472	0	1	1
ec2	53481	1	0	1
ec2	53498	0	1	1
ec2	53650	0	1	1
ec2	53704	1	0	1
ec2	53712	0	1	1
ec2	53714	1	0	1
ec2	53752	1	0	1
ec2	53768	1	0	1
ec2	53901	0	1	1
ec2	53911	1	0	1
ec2	53914	1	0	1
ec2	53960	0	1	1
ec2	54054	0	1	1
ec2	54060	0	1	1
ec2	54088	0	1	1
ec2	54135	0	1	1
ec2	54147	1	0	1
ec2	54192	0	1	1
ec2	54262	1	0	1
ec2	54263	1	0	1
ec2	54393	0	1	1
ec2	54468	1	0	1
ec2	54520	1	0	1
ec2	54526	1	0	1
ec2	54661	0	1	1
ec2	54672	1	0	1
ec2	54685	0	1	1
ec2	54717	0	1	1
ec2	54795	1	0	1
ec2	55171	0	1	1
ec2	55311	0	1	1
ec2	55319	0	1	1
ec2	55453	0	1	1
ec2	55528	1	0	1
ec2	55561	0	1	1
ec2	55618	1	0	1
ec2	55741	1	0	1
ec2	55789	1	0	1
ec2	55850	1	0	1
ec2	55904	0	1	1
ec2	55924	1	0	1
ec2	55941	1	0	1
ec2	55992	1	0	1
ec2	56001	1	0	1
ec2	56043	1	0	1
ec2	56185	0	1	1
ec2	56210	0	1	1
ec2	56364	0	1	1
ec2	56424	0	1	1
ec2	56433	0	1	1
ec2	56449	0	1	1
ec2	56493	1	0	1
ec2	56494	1	0	1
ec2	56525	0	1	1
ec2	56835	1	0	1
ec2	56845	0	1	1
ec2	56846	0	1	1
ec2	56904	1	0	1
ec2	56993	0	1	1
ec2	57015	0	1	1
ec2	57029	0	1	1
ec2	57047	1	0	1
ec2	57063	1	0	1
ec2	57065	0	1	1
ec2	57090	1	0	1
ec2	57162	0	1	1
ec2	57222	1	0	1
ec2	57244	0	1	1
ec2	57440	0	1	1
ec2	57454	0	1	1
ec2	57462	1	0	1
ec2	57507	0	1	1
ec2	57591	0	1	1
ec2	57647	1	0	1
ec2	57737	1	0	1
ec2	57813	1	0	1
ec2	57815	0	1	1
ec2	57836	1	0	1
ec2	58092	1	0	1
ec2	58306	1	0	1
ec2	58314	1	0	1
ec2	58334	1	0	1
ec2	58396	0	1	1
ec2	58535	1	0	1
ec2	58570	0	1	1
ec2	58666	0	1	1
ec2	58720	1	0	1
ec2	58741	0	1	1
ec2	58832	1	0	1
ec2	58886	0	1	1
ec2	58928	0	1	1
ec2	59252	2	0	2
ec2	59322	0	1	1
ec2	59352	1	0	1
ec2	59378	0	1	1
ec2	59382	0	1	1
ec2	59385	0	1	1
ec2	59393	0	1	1
ec2	59427	1	0	1
ec2	59462	0	1	1
ec2	59464	0	1	1
ec2	59585	1	0	1
ec2	59606	0	1	1
ec2	59668	0	1	1
ec2	59699	0	1	1
ec2	59789	1	0	1
ec2	59816	0	1	1
ec2	59887	1	0	1
ec2	59897	1	0	1
ec2	60085	1	0	1
ec2	60094	0	1	1
ec2	60142	1	0	1
ec2	60326	0	1	1
ec2	60347	1	0	1
ec2	60505	0	1	1
ec2	60523	0	1	1
ec2	60562	1	0	1
ec2	60701	1	0	1
ec2	60860	0	2	2
ec2	60885	0	1	1
ec2	60948	1	0	1
ec2	61245	0	1	1
ec2	61342	0	1	1
ec2	61369	0	1	1
ec2	61416	1	0	1
ec2	61437	1	0	1
ec2	61494	0	1	1
ec2	61620	0	1	1
ec2	61648	1	0	1
ec2	61670	0	1	1
ec2	61680	0	1	1
ec2	61720	1	0	1
ec2	61721	1	0	1
ec2	61802	0	1	1
ec2	62156	0	1	1
ec2	62226	2	0	2
ec2	62307	1	0	1
ec2	62497	0	1	1
ec2	62512	0	1	1
ec2	62574	1	0	1
ec2	62768	0	1	1
ec2	62770	0	1	1
ec2	62805	1	0	1
ec2	62838	1	0	1
ec2	62881	1	0	1
ec2	62911	1	0	1
ec2	63204	1	0	1
ec2	63248	0	1	1
ec2	63345	0	1	1
ec2	63361	1	0	1
ec2	63399	0	1	1
ec2	63436	1	0	1
ec2	63522	0	1	1
ec2	63695	0	1	1
ec2	63730	1	0	1
ec2	63739	1	0	1
ec2	63811	0	1	1
ec2	63905	1	0	1
ec2	63960	0	1	1
ec2	64042	1	0	1
ec2	64081	0	1	1
ec2	64115	1	0	1
ec2	64155	1	0	1
ec2	64233	1	0	1
ec2	64246	0	1	1
ec2	64276	0	1	1
ec2	64282	1	0	1
ec2	64360	0	1	1
ec2	64379	1	0	1
ec2	64530	1	0	1
ec2	64594	0	1	1
ec2	64603	1	0	1
ec2	64680	1	0	1
ec2	64683	0	1	1
ec2	64723	0	1	1
ec2	64737	0	1	1
ec2	64775	0	2	2
ec2	64785	0	1	1
ec2	64906	0	1	1
ec2	64932	0	1	1
ec2	64950	1	0	1
ec2	64972	1	0	1
ec2	65009	0	1	1
ec2	65020	0	1	1
ec2	65022	0	1	1
ec2	65043	1	0	1
ec2	65148	0	1	1
ec2	65158	1	0	1
ec2	65196	0	1	1
ec2	65312	0	1	1
ec2	65380	0	1	1
ec2	65387	0	1	1
ec2	65441	0	1	1
ec2	65653	0	1	1
ec2	65654	0	1	1
ec2	65672	1	0	1
ec2	65690	1	0	1
ec2	65801	0	1	1
ec2	65937	0	1	1
ec2	65988	1	0	1
ec2	66102	1	0	1
ec2	66121	1	0	1
ec2	66305	0	1	1
ec2	66341	1	0	1
ec2	66429	1	0	1
ec2	66509	1	1	2
ec2	66647	0	1	1
ec2	66666	0	1	1
ec2	66731	1	0	1
ec2	66755	1	0	1
ec2	66783	0	1	1
ec2	66964	1	0	1
ec2	67031	1	0	1
ec2	67569	1	0	1
ec2	67643	0	1	1
ec2	67721	0	1	1
ec2	67970	0	1	1
ec2	68031	0	1	1
ec2	68044	1	0	1
ec2	68057	0	1	1
ec2	68110	0	1	1
ec2	68312	0	1	1
ec2	68388	0	1	1
ec2	68514	1	0	1
ec2	68654	1	0	1
ec2	68683	0	1	1
ec2	68701	0	1	1
ec2	68705	0	1	1
ec2	68830	1	0	1
ec2	68945	1	0	1
ec2	68946	0	1	1
ec2	68966	0	1	1
ec2	68973	1	0	1
ec2	69024	1	0	1
ec2	69119	0	1	1
ec2	69152	1	0	1
ec2	69190	0	1	1
ec2	69229	1	0	1
ec2	69297	0	1	1
ec2	69406	1	0	1
ec2	69483	0	1	1
ec2	69557	1	0	1
ec2	69727	1	0	1
ec2	69751	1	0	1
ec2	69845	1	0	1
ec2	69938	0	1	1
ec2	69957	1	0	1
ec2	70020	1	0	1
ec2	70035	1	0	1
ec2	70105	0	1	1
ec2	70151	0	1	1
ec2	70229	1	0	1
ec2	70421	0	1	1
ec2	70436	0	1	1
ec2	70496	1	0	1
ec2	70505	0	1	1
ec2	70687	1	0	1
ec2	70821	0	1	1
ec2	70836	1	1	2
ec2	70954	1	0	1
ec2	71136	1	0	1
ec2	71149	0	1	1
