### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	94171.0	0.608	0.259
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	94171.0	291723.0	0.6082	0.259
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:1255303	18.2	1.4	4.435	-14.172	1
chrec2:4612850	31.1	9.5	2.423	-14.143	1
chrec2:1216123	20.8	2.8	3.590	-13.478	1
chrec2:2521347	28.8	6.8	2.797	-13.489	1
chrec2:818597	17.8	1.1	4.773	-13.297	1
chrec2:3023794	17.8	0.7	4.152	-13.311	1
chrec2:909058	17.7	0.6	4.149	-13.324	1
chrec2:1962277	25.1	6.3	2.716	-12.895	1
chrec2:2938355	26.9	6.9	2.680	-12.783	1
chrec2:4618766	16.5	1.3	4.395	-12.438	1
chrec2:3264099	22.9	3.3	3.490	-12.340	1
chrec2:3552850	18.4	2.9	3.395	-11.854	1
chrec2:987769	18.2	3.1	3.295	-11.866	1
chrec2:2607092	16.4	0.2	4.037	-11.567	1
chrec2:415496	21.1	4.0	3.136	-11.566	1
chrec2:3132113	11.8	0.0	3.558	-10.762	1
chrec2:3207315	11.2	0.0	3.489	-10.774	1
chrec2:2324169	15.3	0.7	3.931	-10.699	1
chrec2:3524664	15.1	1.4	4.117	-10.711	1
chrec2:3933103	19.0	3.6	3.112	-10.001	1
chrec2:3571929	25.4	9.1	2.203	-9.976	1
chrec2:3416837	13.9	0.8	3.802	-9.834	1
chrec2:2264306	13.5	1.4	3.954	-9.846	1
chrec2:4157928	16.7	1.8	3.941	-9.431	1
chrec2:71207	15.3	3.2	2.967	-9.442	1
chrec2:4188732	23.7	9.4	2.059	-9.329	1
chrec2:2381519	18.5	4.1	2.901	-9.282	1
chrec2:940950	17.5	4.2	2.771	-9.294	1
chrec2:3634424	20.9	5.0	2.789	-9.253	1
chrec2:3075587	13.4	0.1	3.746	-9.018	1
chrec2:2864765	13.3	0.6	3.731	-9.029	1
chrec2:1539551	13.1	0.1	3.711	-9.040	1
chrec2:1332552	12.2	1.6	3.625	-9.051	1
chrec2:534342	9.1	0.0	3.190	-8.968	1
chrec2:220656	19.9	7.8	2.064	-7.917	1
chrec2:1016023	14.3	2.5	3.241	-7.891	1
chrec2:2314438	13.9	2.6	3.144	-7.902	1
chrec2:269016	13.7	2.3	3.287	-7.912	1
chrec2:453245	17.2	6.3	2.168	-7.868	1
chrec2:4348758	16.6	3.6	2.927	-7.851	1
chrec2:2198287	16.1	3.5	2.900	-7.861	1
chrec2:587002	11.1	0.2	3.473	-7.351	1
chrec2:3242545	10.9	0.8	3.448	-7.361	1
chrec2:2955390	15.9	3.4	2.964	-7.123	1
chrec2:2083828	15.6	3.6	2.849	-7.133	1
chrec2:3159721	14.9	3.9	2.631	-7.143	1
chrec2:3527885	14.4	4.5	2.377	-7.153	1
chrec2:3697617	10.3	0.9	3.361	-6.526	1
chrec2:1468426	9.4	1.6	3.310	-6.535	1
chrec2:3258127	9.4	1.4	3.448	-6.545	1
chrec2:2038964	16.1	5.0	2.412	-6.542	1
chrec2:4133923	11.7	3.0	2.690	-6.421	1
chrec2:3081503	11.4	3.1	2.590	-6.430	1
chrec2:1493409	11.4	2.3	3.042	-5.644	1
chrec2:1180193	14.4	5.4	2.126	-5.194	1
chrec2:1818078	12.1	3.5	2.516	-5.016	1
chrec2:3668466	11.7	4.1	2.231	-5.025	1
chrec2:2960710	8.1	1.2	3.461	-4.882	1
chrec2:1266434	8.1	0.7	3.011	-4.891	1
chrec2:235107	15.7	6.6	1.963	-4.817	1
chrec2:3708259	13.2	5.4	2.002	-4.581	1
chrec2:609395	9.2	2.6	2.543	-4.174	1
chrec2:2734224	9.1	1.7	3.116	-4.183	1
chrec2:2796348	8.9	2.5	2.520	-4.192	1
chrec2:2181950	8.8	2.3	2.676	-4.200	1
chrec2:3764245	8.7	2.6	2.453	-4.209	1
chrec2:2132100	8.5	2.7	2.395	-4.218	1
chrec2:3101062	11.6	6.0	1.658	-3.995	1
chrec2:3079659	10.5	3.4	2.360	-3.739	1
chrec2:918317	9.4	4.3	1.838	-3.747	1
chrec2:4197787	92.1	115.2	0.395	-3.414	1
chrec2:3627594	12.3	7.1	1.515	-3.127	1
chrec2:4410686	16.5	12.2	1.149	-3.056	1
chrec2:783160	10.3	6.8	1.325	-2.071	1
chrec2:91483	9.4	8.0	0.938	-2.079	1
chrec2:1722516	11.0	9.2	0.978	-1.948	1
chrec2:3839913	9.0	7.2	1.034	-1.605	1
chrec2:785928	10.3	8.8	0.930	-1.513	1
chrec2:1167762	10.0	8.2	0.995	-1.103	1
chrec2:3728380	10.5	9.9	0.796	-1.060	1
chrec2:4430525	23.1	32.5	0.224	-0.794	1
chrec2:4377025	9.6	12.6	0.332	-0.703	1
chrec2:2526499	51.2	1046.8	-3.637	0.000	1
chrec2:3654060	46.5	988.8	-3.691	0.000	1
chrec2:3600943	44.4	1229.7	-4.074	0.000	1
chrec2:3689769	41.2	951.8	-3.813	0.000	1
chrec2:3423359	40.1	574.0	-3.124	0.000	1
chrec2:223915	33.3	927.5	-4.084	0.000	1
chrec2:1994020	32.3	436.2	-3.038	0.000	1
chrec2:4397114	31.7	819.9	-3.974	0.000	1
chrec2:2817189	31.3	713.0	-3.792	0.000	1
chrec2:3654169	30.9	926.3	-4.189	0.000	1
chrec2:2725080	30.8	329.2	-2.700	0.000	1
chrec2:3694737	29.0	844.3	-4.148	0.000	1
chrec2:3694109	27.7	534.4	-3.551	0.000	1
chrec2:4211472	27.6	679.6	-3.906	0.000	1
chrec2:3600630	27.4	392.7	-3.124	0.000	1
chrec2:228521	26.4	205.9	-2.244	0.000	1
chrec2:3695059	26.0	660.9	-3.951	0.000	1
chrec2:4216394	25.6	278.8	-2.725	0.000	1
chrec2:224414	24.9	486.1	-3.568	0.000	1
chrec2:3427290	24.7	407.5	-3.324	0.000	1
chrec2:3469515	24.6	528.5	-3.706	0.000	1
chrec2:2523625	24.1	282.0	-2.829	0.000	1
chrec2:3465285	23.7	284.4	-2.870	0.000	1
chrec2:223596	23.4	619.8	-4.009	0.000	1
chrec2:3690127	23.4	236.7	-2.623	0.000	1
chrec2:3423878	23.3	308.3	-3.009	0.000	1
chrec2:3601328	21.7	701.7	-4.295	0.000	1
chrec2:3428437	20.1	656.8	-4.313	0.000	1
chrec2:1994221	19.8	338.5	-3.380	0.000	1
chrec2:3470232	19.3	618.2	-4.282	0.000	1
chrec2:3461300	19.2	264.0	-3.061	0.000	1
chrec2:3690445	16.4	360.0	-3.738	0.000	1
chrec2:2725367	15.5	171.3	-2.748	0.000	1
chrec2:4212875	15.5	313.5	-3.620	0.000	1
chrec2:2729981	15.4	459.4	-4.177	0.000	1
chrec2:3308550	14.9	72.1	-1.555	0.000	1
chrec2:3468850	14.8	290.3	-3.578	0.000	1
chrec2:4610770	14.8	357.9	-3.881	0.000	1
chrec2:2729298	14.8	242.5	-3.320	0.000	1
chrec2:3596586	14.7	221.7	-3.194	0.000	1
chrec2:3427779	14.7	252.2	-3.388	0.000	1
chrec2:3469277	14.6	324.3	-3.759	0.000	1
chrec2:3469889	14.1	588.7	-4.665	0.000	1
chrec2:3424929	13.7	221.9	-3.297	0.000	1
chrec2:3318225	13.4	198.2	-3.167	0.000	1
chrec2:3598459	13.2	269.9	-3.632	0.000	1
chrec2:4212168	12.9	215.8	-3.351	0.000	1
chrec2:3725261	12.8	181.8	-3.108	0.000	1
chrec2:3599106	12.8	382.1	-4.182	0.000	1
chrec2:3428040	12.7	263.1	-3.659	0.000	1
chrec2:3599456	12.5	499.3	-4.597	0.000	1
chrec2:2946076	12.4	182.6	-3.158	0.000	1
chrec2:2727112	12.4	241.5	-3.562	0.000	1
chrec2:3597487	12.3	180.3	-3.158	0.000	1
chrec2:3596399	12.2	107.9	-2.423	0.000	1
chrec2:3425974	12.2	223.4	-3.481	0.000	1
chrec2:3425856	12.0	199.7	-3.336	0.000	1
chrec2:3428712	11.9	301.2	-3.946	0.000	1
chrec2:225016	11.8	205.8	-3.401	0.000	1
chrec2:2726688	11.8	194.0	-3.327	0.000	1
chrec2:3468305	11.7	248.1	-3.690	0.000	1
chrec2:4397301	11.7	286.9	-3.903	0.000	1
chrec2:2728437	11.5	186.0	-3.299	0.000	1
chrec2:3596102	11.4	218.4	-3.538	0.000	1
chrec2:3693410	11.3	206.1	-3.474	0.000	1
chrec2:3693935	11.3	126.0	-2.767	0.000	1
chrec2:4214156	11.2	233.9	-3.663	0.000	1
chrec2:236986	11.1	343.4	-4.230	0.000	1
chrec2:3725659	11.1	52.7	-1.532	0.000	1
chrec2:228422	10.8	184.2	-3.375	0.000	1
chrec2:2729069	10.8	207.9	-3.551	0.000	1
chrec2:3243457	10.8	19.1	-0.111	0.000	1
chrec2:3426177	10.7	208.7	-3.574	0.000	1
chrec2:3466177	10.5	164.5	-3.246	0.000	1
chrec2:2946324	10.5	175.8	-3.350	0.000	1
chrec2:3726354	10.5	116.9	-2.762	0.000	1
chrec2:3460964	10.1	185.4	-3.480	0.000	1
chrec2:3598885	10.1	164.6	-3.311	0.000	1
chrec2:3600471	9.9	242.5	-3.892	0.000	1
chrec2:3460864	9.9	167.1	-3.358	0.000	1
chrec2:3426609	9.9	311.6	-4.265	0.000	1
chrec2:262124	9.8	247.3	-3.933	0.000	1
chrec2:2727457	9.8	189.0	-3.555	0.000	1
chrec2:4611041	9.6	270.0	-4.098	0.000	1
chrec2:3694345	9.5	192.0	-3.617	0.000	1
chrec2:3693208	9.5	196.9	-3.658	0.000	1
chrec2:3467996	9.2	333.4	-4.469	0.000	1
chrec2:228074	9.1	155.9	-3.387	0.000	1
chrec2:2727802	9.0	262.0	-4.147	0.000	1
chrec2:3691613	8.9	138.9	-3.245	0.000	1
chrec2:3469167	8.2	146.2	-3.435	0.000	1
chrec2:4501063	7.6	83.6	-2.735	0.000	1
chrec2:3530828	7.5	108.9	-3.142	0.000	1
