### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	878940.0	5.630	0.173
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	878940.0	291723.0	5.630	0.173
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	Subtype0+-Point	Subtype0+-Tau	Subtype0+-Sequence	Subtype0+-MotifScore	Subtype0--Point	Subtype0--Tau	Subtype0--Sequence	Subtype0--MotifScore
chrec2:4200864	778.1	87.4	0.660	-47.235	chrec2:4200834:+	0.00		0.00	chrec2:4200864:-	1.00		0.00
chrec2:1295889	63.4	0.6	5.985	-44.123	chrec2:1295859:+	0.00		0.00	chrec2:1295889:-	1.00		0.00
chrec2:1534558	100.3	3.5	2.343	-42.583	chrec2:1534555:+	0.43		0.00	chrec2:1534560:-	0.57		0.00
chrec2:387713	114.4	5.0	2.026	-38.979	chrec2:387683:+	0.00		0.00	chrec2:387713:-	1.00		0.00
chrec2:4442228	102.8	4.5	2.008	-35.441	chrec2:4442198:+	0.00		0.00	chrec2:4442228:-	1.00		0.00
chrec2:3792879	61.1	1.2	3.195	-34.866	chrec2:3792849:+	0.00		0.00	chrec2:3792879:-	1.00		0.00
chrec2:2050380	57.4	1.0	3.314	-34.606	chrec2:2050350:+	0.00		0.00	chrec2:2050380:-	1.00		0.00
chrec2:231066	192.2	14.6	1.225	-32.442	chrec2:231036:+	0.00		0.00	chrec2:231066:-	1.00		0.00
chrec2:4639924	347.3	34.3	0.847	-32.265	chrec2:4639894:+	0.00		0.00	chrec2:4639924:-	1.00		0.00
chrec2:4097978	60.3	1.5	2.831	-30.056	chrec2:4097948:+	0.00		0.00	chrec2:4097978:-	1.00		0.00
chrec2:4015014	107.3	6.0	1.670	-29.416	chrec2:4014984:+	0.00		0.00	chrec2:4015014:-	1.00		0.00
chrec2:2668479	57.9	1.6	2.705	-28.509	chrec2:2668449:+	0.00		0.00	chrec2:2668479:-	1.00		0.00
chrec2:1264566	70.9	2.7	2.229	-27.013	chrec2:1264536:+	0.00		0.00	chrec2:1264566:-	1.00		0.00
chrec2:3422553	66.1	2.6	2.197	-24.899	chrec2:3422553:+	1.00		0.00	chrec2:3422523:-	0.00		0.00
chrec2:1898529	145.0	11.6	1.147	-22.232	chrec2:1898529:+	1.00		0.00	chrec2:1898499:-	0.00		0.00
chrec2:3284290	42.9	1.2	2.636	-20.345	chrec2:3284260:+	0.00		0.00	chrec2:3284290:-	1.00		0.00
chrec2:379936	62.8	3.0	1.920	-20.259	chrec2:379906:+	0.00		0.00	chrec2:379936:-	1.00		0.00
chrec2:1747921	93.0	6.7	1.308	-17.376	chrec2:1747921:+	1.00		0.00	chrec2:1747903:-	0.00		0.00
chrec2:2241556	40.9	1.4	2.362	-17.191	chrec2:2241526:+	0.00		0.00	chrec2:2241556:-	1.00		0.00
chrec2:2770533	106.5	8.4	1.176	-16.429	chrec2:2770503:+	0.00		0.00	chrec2:2770533:-	1.00		0.00
chrec2:1670308	51.2	2.5	1.851	-14.876	chrec2:1670308:+	1.00		0.00	chrec2:1670278:-	0.00		0.00
chrec2:1914337	335.3	41.0	0.538	-14.661	chrec2:1914337:+	1.00		0.00	chrec2:1914345:-	0.00		0.00
chrec2:2011946	38.5	1.6	2.141	-14.329	chrec2:2011916:+	0.00		0.00	chrec2:2011946:-	1.00		0.00
chrec2:2910146	63.3	3.9	1.511	-14.049	chrec2:2910116:+	0.00		0.00	chrec2:2910146:-	1.00		0.00
chrec2:2070996	44.7	2.0	2.013	-13.917	chrec2:2070966:+	0.00		0.00	chrec2:2070996:-	1.00		0.00
chrec2:1260288	61.1	3.8	1.525	-13.875	chrec2:1260258:+	0.00		0.00	chrec2:1260288:-	1.00		0.00
chrec2:3696593	35.6	1.4	2.209	-13.674	chrec2:3696563:+	0.00		0.00	chrec2:3696593:-	1.00		0.00
chrec2:4545913	91.3	7.3	1.153	-13.669	chrec2:4545883:+	0.00		0.00	chrec2:4545913:-	1.00		0.00
chrec2:2660816	215.0	24.1	0.662	-13.517	chrec2:2660786:+	0.00		0.00	chrec2:2660816:-	1.00		0.00
chrec2:4217728	63.8	4.8	1.247	-11.358	chrec2:4217698:+	0.00		0.00	chrec2:4217728:-	1.00		0.00
chrec2:1280896	41.0	2.3	1.680	-10.972	chrec2:1280896:+	1.00		0.00	chrec2:1280866:-	0.00		0.00
chrec2:3402418	37.7	1.8	1.915	-10.648	chrec2:3402388:+	0.00		0.00	chrec2:3402418:-	1.00		0.00
chrec2:3985108	42.7	2.3	1.707	-10.590	chrec2:3985078:+	0.00		0.00	chrec2:3985108:-	1.00		0.00
chrec2:2293753	66.9	6.1	0.969	-7.522	chrec2:2293723:+	0.00		0.00	chrec2:2293753:-	1.00		0.00
chrec2:3934410	29.3	1.7	1.620	-6.779	chrec2:3934380:+	0.00		0.00	chrec2:3934410:-	1.00		0.00
chrec2:4353707	72.9	7.1	0.861	-6.367	chrec2:4353677:+	0.00		0.00	chrec2:4353707:-	1.00		0.00
chrec2:3401594	31.4	2.3	1.286	-5.848	chrec2:3401564:+	0.00		0.00	chrec2:3401594:-	1.00		0.00
chrec2:4366113	29.0	2.1	1.299	-5.066	chrec2:4366113:+	1.00		0.00	chrec2:4366083:-	0.00		0.00
chrec2:1612436	58.8	6.0	0.796	-4.976	chrec2:1612406:+	0.00		0.00	chrec2:1612436:-	1.00		0.00
chrec2:4040722	87.1	10.0	0.630	-4.684	chrec2:4040692:+	0.00		0.00	chrec2:4040722:-	1.00		0.00
chrec2:3080307	48.1	4.7	0.858	-4.301	chrec2:3080277:+	0.00		0.00	chrec2:3080307:-	1.00		0.00
chrec2:451032	96.8	11.9	0.534	-4.122	chrec2:451032:+	1.00		0.00	chrec2:451002:-	0.00		0.00
chrec2:433745	53.3	5.5	0.776	-3.798	chrec2:433745:+	1.00		0.00	chrec2:433715:-	0.00		0.00
chrec2:2377802	28.2	2.5	1.016	-3.716	chrec2:2377802:+	1.00		0.00	chrec2:2377772:-	0.00		0.00
