### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	990738.0	291723.0	2.854	0.592
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:475640	1120.4	110.7	1.827	-346.231
chrec2:3183383	866.7	65.0	2.224	-345.814
chrec2:2155764	644.0	31.0	2.862	-342.790
chrec2:453437	524.5	16.1	3.513	-340.671
chrec2:1721520	728.1	44.1	2.532	-340.231
chrec2:3710206	716.2	42.4	2.566	-339.837
chrec2:1792970	455.5	8.6	4.222	-338.418
chrec2:2765287	735.7	45.3	2.509	-337.885
chrec2:379132	852.9	65.1	2.198	-335.827
chrec2:2627916	931.0	79.0	2.046	-333.924
chrec2:2526360	2314.3	383.3	1.081	-323.282
chrec2:4409348	623.8	31.7	2.786	-322.689
chrec2:989460	602.1	29.6	2.832	-316.881
chrec2:1727718	456.5	12.0	3.731	-309.353
chrec2:669653	523.9	20.4	3.169	-308.031
chrec2:3308556	1403.2	180.8	1.443	-308.002
chrec2:3756525	565.5	26.1	2.924	-307.230
chrec2:3992360	706.5	47.4	2.385	-305.969
chrec2:2598458	533.0	21.7	3.103	-305.752
chrec2:3054145	707.7	48.3	2.360	-304.235
chrec2:1493842	527.3	22.3	3.050	-300.203
chrec2:1757175	508.5	19.8	3.167	-299.989
chrec2:454211	578.0	29.2	2.796	-299.584
chrec2:440686	459.9	13.8	3.544	-299.435
chrec2:2908377	971.0	96.0	1.825	-298.681
chrec2:3145432	647.2	40.7	2.477	-293.217
chrec2:2729994	4260.1	913.1	0.709	-291.910
chrec2:222732	598.3	34.5	2.602	-287.115
chrec2:780926	1336.0	176.0	1.411	-284.017
chrec2:2557618	472.8	18.0	3.201	-281.079
chrec2:3671039	833.8	75.8	1.947	-280.242
chrec2:1748123	1729.4	267.6	1.179	-278.895
chrec2:4462573	490.7	21.1	3.025	-275.191
chrec2:1804469	507.5	24.5	2.861	-271.090
chrec2:1492483	556.3	33.0	2.564	-261.734
chrec2:883935	388.9	11.2	3.605	-258.144
chrec2:1745083	453.2	19.6	3.019	-256.137
chrec2:506414	429.0	16.7	3.174	-253.055
chrec2:1964350	322.5	4.7	4.581	-252.972
chrec2:660730	383.8	11.4	3.566	-251.083
chrec2:1110837	507.3	28.1	2.661	-248.948
chrec2:553721	440.2	19.1	3.011	-246.702
chrec2:4201731	548.6	35.2	2.447	-246.074
chrec2:3623810	447.7	20.7	2.919	-241.910
chrec2:3804224	529.7	33.2	2.483	-241.841
chrec2:2526381	3335.4	704.0	0.731	-241.470
chrec2:2027442	485.9	26.7	2.670	-239.894
chrec2:3992111	591.8	43.9	2.239	-238.116
chrec2:3725110	1694.0	280.8	1.080	-236.985
chrec2:873322	390.4	14.1	3.277	-236.313
chrec2:3085217	623.6	50.0	2.128	-236.053
chrec2:4237313	356.8	10.3	3.597	-235.311
chrec2:4002810	451.0	23.4	2.756	-231.167
chrec2:4061655	332.4	8.1	3.843	-229.620
chrec2:1990147	803.6	85.6	1.717	-227.969
chrec2:3109049	1045.5	135.8	1.432	-227.875
chrec2:2538943	462.8	26.3	2.626	-225.584
chrec2:255905	681.3	63.3	1.916	-224.335
chrec2:1153090	391.9	16.3	3.072	-224.296
chrec2:3695054	4088.6	932.7	0.619	-220.757
chrec2:1735855	415.6	20.6	2.819	-218.829
chrec2:3270454	576.9	46.1	2.133	-218.722
chrec2:4611122	3187.6	683.8	0.708	-218.623
chrec2:3627575	363.1	13.4	3.245	-218.066
chrec2:1016917	454.5	26.3	2.597	-216.794
chrec2:3863990	415.0	21.4	2.766	-214.097
chrec2:2045710	553.7	43.2	2.166	-213.997
chrec2:496348	387.5	17.8	2.933	-212.419
chrec2:2797201	407.3	20.6	2.789	-212.423
chrec2:2046704	1085.8	151.3	1.331	-211.864
chrec2:2062011	1058.6	145.3	1.352	-211.775
chrec2:2316377	330.6	10.9	3.415	-210.023
chrec2:1910517	411.9	21.6	2.741	-209.799
chrec2:3714204	502.5	36.3	2.277	-207.237
chrec2:3645688	635.2	59.8	1.896	-206.577
chrec2:480096	339.7	12.5	3.251	-205.581
chrec2:3508065	333.2	11.6	3.333	-204.371
chrec2:2283884	392.8	19.8	2.795	-204.349
chrec2:2923182	1086.6	155.5	1.292	-202.831
chrec2:990844	314.4	10.0	3.457	-201.195
chrec2:113326	564.6	48.4	2.030	-200.170
chrec2:2316181	538.1	44.5	2.084	-199.296
chrec2:3518263	479.2	34.2	2.296	-199.042
chrec2:2116487	475.4	33.6	2.307	-197.674
chrec2:1219363	387.2	20.0	2.763	-197.625
chrec2:2100475	604.2	56.5	1.906	-197.409
chrec2:4645296	627.7	61.3	1.844	-197.223
chrec2:1436306	416.6	24.6	2.567	-196.399
chrec2:2660851	446.0	29.5	2.404	-195.387
chrec2:771696	379.0	19.5	2.766	-195.134
chrec2:1927006	608.0	57.8	1.882	-195.138
chrec2:1707454	341.7	14.1	3.086	-195.087
chrec2:3654291	2142.5	422.0	0.831	-194.285
chrec2:1703907	407.1	24.1	2.566	-193.022
chrec2:1332527	340.9	14.6	3.028	-192.912
chrec2:2562763	421.3	26.6	2.472	-192.353
chrec2:491273	396.4	22.5	2.628	-191.683
chrec2:2724473	467.5	34.3	2.256	-191.109
chrec2:2092107	489.2	38.2	2.166	-188.368
chrec2:4523055	569.0	52.8	1.916	-188.113
chrec2:4009495	334.2	15.0	2.965	-185.816
chrec2:927113	310.7	11.9	3.199	-185.696
chrec2:1742912	537.7	47.8	1.979	-185.298
chrec2:2652128	395.5	24.0	2.531	-183.819
chrec2:424203	303.5	10.9	3.284	-183.587
chrec2:89603	606.0	61.3	1.792	-182.082
chrec2:3915055	434.4	31.0	2.295	-180.221
chrec2:2054146	337.8	16.2	2.870	-180.016
chrec2:3550704	348.7	18.1	2.756	-178.988
chrec2:2115388	481.0	39.8	2.083	-177.169
chrec2:4154463	394.8	25.6	2.437	-177.017
chrec2:1927021	485.9	40.9	2.059	-176.520
chrec2:3819038	376.4	22.6	2.547	-176.247
chrec2:3085073	432.0	31.7	2.253	-175.731
chrec2:1097927	970.4	141.3	1.267	-175.280
chrec2:4267868	342.2	18.1	2.724	-174.233
chrec2:853138	399.4	26.9	2.379	-174.202
chrec2:3245288	379.3	23.8	2.481	-174.135
chrec2:2473279	491.6	42.7	2.012	-173.937
chrec2:3742847	355.7	20.2	2.627	-173.292
chrec2:4399860	240.0	5.2	4.005	-173.232
chrec2:4545262	267.6	8.3	3.491	-173.138
chrec2:141354	384.7	24.6	2.455	-172.115
chrec2:4472037	1041.2	159.4	1.194	-171.435
chrec2:3725051	567.3	57.7	1.785	-170.154
chrec2:2746513	327.3	16.5	2.799	-169.232
chrec2:1997539	434.5	33.9	2.168	-169.037
chrec2:131512	343.3	19.1	2.654	-168.649
chrec2:4438731	344.7	19.4	2.639	-168.383
chrec2:4545371	467.9	39.6	2.049	-168.300
chrec2:3379982	243.9	6.2	3.791	-168.095
chrec2:3846483	425.3	32.2	2.208	-167.788
chrec2:4297959	277.7	10.3	3.241	-167.096
chrec2:2268673	248.7	6.8	3.680	-167.026
chrec2:2197598	318.2	16.1	2.796	-166.777
chrec2:3992353	410.4	30.4	2.243	-166.698
chrec2:2466686	213.7	3.3	4.503	-165.411
chrec2:3594285	356.7	21.7	2.523	-164.495
chrec2:3686391	1010.9	156.1	1.182	-164.372
chrec2:3818340	551.9	56.9	1.765	-163.058
chrec2:1352844	408.1	30.5	2.228	-163.055
chrec2:3756448	244.4	6.7	3.673	-162.626
chrec2:3475853	227.4	5.2	3.938	-162.416
chrec2:3578306	787.8	107.4	1.362	-159.752
chrec2:3400988	384.4	27.5	2.294	-159.343
chrec2:4121030	302.2	14.8	2.839	-159.061
chrec2:3153858	259.9	9.2	3.304	-158.868
chrec2:4396229	298.3	14.7	2.833	-158.644
chrec2:1244712	242.7	7.1	3.590	-158.234
chrec2:4381480	441.3	37.6	2.041	-157.966
chrec2:831200	253.4	8.6	3.369	-157.702
chrec2:3193514	613.4	71.4	1.591	-157.088
chrec2:2662016	293.9	14.2	2.862	-156.624
chrec2:3617859	257.9	9.7	3.216	-154.828
chrec2:4114237	274.2	11.8	3.024	-154.821
chrec2:3403286	251.6	9.1	3.280	-154.437
chrec2:576463	228.3	6.0	3.734	-153.912
chrec2:4002974	267.1	11.0	3.087	-153.367
chrec2:153	603.1	70.7	1.579	-153.259
chrec2:771614	291.9	14.6	2.813	-153.036
chrec2:484939	334.8	20.7	2.502	-152.947
chrec2:3171155	247.2	8.7	3.315	-152.575
chrec2:3436507	472.4	45.2	1.873	-152.542
chrec2:274493	389.4	30.4	2.167	-151.765
chrec2:2536717	254.1	9.5	3.227	-151.475
chrec2:3446187	405.2	33.1	2.101	-150.951
chrec2:2188781	218.0	5.5	3.809	-150.587
chrec2:3384451	331.5	21.2	2.453	-149.763
chrec2:4297949	248.6	9.1	3.252	-148.711
chrec2:3688642	248.1	9.2	3.241	-148.715
chrec2:4640039	432.8	39.1	1.957	-147.392
chrec2:4505176	249.0	9.8	3.159	-147.264
chrec2:2711528	220.2	6.1	3.663	-146.872
chrec2:1294526	497.6	51.2	1.767	-146.805
chrec2:3148157	283.7	14.5	2.778	-146.668
chrec2:1148220	264.1	11.6	3.000	-146.626
chrec2:3176653	312.8	18.6	2.559	-146.542
chrec2:1907180	193.3	3.3	4.342	-146.051
chrec2:2967663	264.1	12.2	2.919	-145.360
chrec2:1739395	500.3	52.4	1.741	-145.337
chrec2:2557683	226.2	7.1	3.481	-144.355
chrec2:3823830	301.3	17.8	2.566	-144.138
chrec2:3054396	350.2	25.2	2.282	-143.950
chrec2:2643029	299.3	17.2	2.604	-143.605
chrec2:3108091	246.9	9.9	3.126	-143.372
chrec2:3938713	262.8	12.0	2.944	-142.928
chrec2:3055510	347.6	25.5	2.258	-142.512
chrec2:1675492	415.2	37.4	1.960	-141.826
chrec2:4443201	254.7	11.4	2.963	-141.366
chrec2:1722585	357.0	27.6	2.181	-140.046
chrec2:1401270	473.1	48.9	1.761	-139.735
chrec2:712380	252.9	11.4	2.955	-139.729
chrec2:1643434	436.0	42.0	1.863	-139.498
chrec2:3670478	394.9	35.0	1.985	-137.458
chrec2:4446005	443.2	44.0	1.820	-136.867
chrec2:2652439	454.4	46.3	1.783	-135.755
chrec2:2941346	1349.7	256.9	0.880	-135.720
chrec2:2070126	335.6	25.1	2.229	-135.383
chrec2:4610378	488.1	53.5	1.677	-134.756
chrec2:246529	312.7	21.6	2.341	-134.025
chrec2:2447100	751.8	110.8	1.249	-133.673
chrec2:17458	310.1	21.1	2.366	-133.405
chrec2:939792	231.6	9.7	3.061	-133.082
chrec2:1991775	207.1	6.6	3.456	-132.934
chrec2:485716	289.3	18.0	2.493	-132.486
chrec2:1018759	167.1	2.4	4.607	-132.099
chrec2:3038466	177.7	3.2	4.267	-131.382
chrec2:3234577	286.5	18.0	2.477	-130.213
chrec2:3039941	181.7	4.1	3.971	-129.837
chrec2:638092	274.0	16.3	2.555	-129.667
chrec2:4278753	415.4	40.8	1.834	-129.578
chrec2:160727	313.0	22.6	2.277	-129.382
chrec2:2740485	256.9	13.7	2.713	-129.127
chrec2:3974572	431.5	44.4	1.768	-128.801
chrec2:4056937	205.2	6.8	3.399	-128.732
chrec2:1031872	551.4	69.0	1.486	-128.493
chrec2:1030428	141.5	0.6	7.144	-128.480
chrec2:176551	353.7	30.0	2.044	-128.212
chrec2:4454374	271.7	16.4	2.534	-128.158
chrec2:4418797	206.2	7.3	3.305	-128.038
chrec2:2923965	186.1	4.7	3.802	-127.735
chrec2:926907	359.5	30.9	2.027	-127.627
chrec2:4490813	242.5	12.1	2.811	-127.617
chrec2:2481830	249.9	13.3	2.724	-127.402
chrec2:3760262	322.3	24.6	2.202	-126.926
chrec2:2698282	226.8	10.1	2.975	-126.850
chrec2:1118343	219.8	8.8	3.129	-126.702
chrec2:1328414	160.5	2.4	4.561	-126.545
chrec2:3237023	1002.9	175.5	1.002	-125.619
chrec2:2803414	356.0	30.9	2.012	-125.615
chrec2:2439445	321.7	25.1	2.165	-125.491
chrec2:3054203	316.0	24.2	2.193	-124.134
chrec2:651824	213.2	8.6	3.123	-123.909
chrec2:3740047	193.1	6.2	3.452	-123.360
chrec2:3721468	261.3	15.6	2.557	-123.245
chrec2:8183	355.3	31.9	1.966	-123.022
chrec2:2424667	170.8	3.6	4.037	-122.922
chrec2:1909325	239.1	12.4	2.755	-122.511
chrec2:21378	295.3	21.0	2.298	-122.504
chrec2:4072945	189.6	5.6	3.561	-122.430
chrec2:1873679	196.7	7.0	3.300	-121.919
chrec2:1310470	217.8	9.8	2.961	-121.588
chrec2:3283959	227.7	11.1	2.844	-121.532
chrec2:3855348	266.8	17.0	2.457	-120.990
chrec2:388984	192.8	6.4	3.399	-120.914
chrec2:1085335	253.1	14.8	2.586	-120.632
chrec2:2462337	240.1	13.3	2.663	-120.345
chrec2:4114077	447.6	50.3	1.640	-120.272
chrec2:2502219	186.1	5.8	3.491	-119.836
chrec2:2699177	246.7	14.1	2.613	-119.561
chrec2:4036087	279.9	19.5	2.334	-119.333
chrec2:1341893	248.4	14.6	2.575	-119.331
chrec2:3585647	270.5	18.0	2.397	-118.320
chrec2:1952338	260.8	16.6	2.458	-118.159
chrec2:450882	206.3	8.4	3.099	-118.121
chrec2:480024	337.0	29.5	1.999	-118.082
chrec2:439620	225.8	11.4	2.792	-117.981
chrec2:4162934	258.6	16.5	2.456	-115.903
chrec2:2715192	365.8	35.5	1.853	-115.363
chrec2:478517	145.1	2.0	4.685	-115.138
chrec2:4159206	209.8	9.6	2.933	-115.066
chrec2:4395111	209.7	9.7	2.928	-115.069
chrec2:1924783	161.8	3.6	3.978	-114.840
chrec2:3811612	288.7	21.8	2.214	-114.514
chrec2:4490723	257.8	16.9	2.414	-114.274
chrec2:1300017	213.3	10.5	2.838	-114.267
chrec2:3072493	259.2	17.5	2.375	-114.145
chrec2:3186076	283.3	21.1	2.232	-113.904
chrec2:2866768	264.4	18.5	2.323	-113.059
chrec2:431417	391.5	41.4	1.727	-112.365
chrec2:121696	177.1	5.9	3.397	-112.067
chrec2:2617467	247.4	16.1	2.428	-111.730
chrec2:3137281	179.2	6.1	3.358	-111.353
chrec2:461056	217.2	11.3	2.756	-110.831
chrec2:3638780	347.1	33.9	1.841	-110.404
chrec2:578145	209.3	10.3	2.837	-110.251
chrec2:2886013	248.0	16.3	2.413	-110.090
chrec2:3940273	230.0	13.3	2.595	-110.018
chrec2:2871563	229.5	13.6	2.563	-110.022
chrec2:2468883	193.1	8.1	3.067	-109.538
chrec2:3714148	286.8	22.9	2.136	-109.527
chrec2:1812601	155.9	3.8	3.833	-109.480
chrec2:4161884	250.5	17.1	2.362	-109.102
chrec2:4121255	315.7	28.1	1.977	-108.536
chrec2:1714393	164.1	4.8	3.584	-108.392
chrec2:3699529	238.8	15.1	2.470	-107.554
chrec2:3907666	297.9	25.5	2.032	-107.531
chrec2:3798638	197.2	9.4	2.874	-107.389
chrec2:507338	182.0	7.3	3.118	-106.960
chrec2:136935	181.3	7.1	3.152	-106.120
chrec2:775124	179.4	7.2	3.117	-105.281
chrec2:2489081	337.6	33.5	1.820	-105.204
chrec2:962277	350.5	36.6	1.746	-103.110
chrec2:853461	236.4	15.8	2.386	-102.795
chrec2:2500945	228.7	15.0	2.413	-102.450
chrec2:4480506	170.7	6.4	3.218	-102.218
chrec2:658392	175.6	7.3	3.077	-101.938
chrec2:967011	185.5	8.7	2.909	-101.706
chrec2:1849752	159.5	5.0	3.496	-101.486
chrec2:1657428	156.4	4.6	3.583	-101.400
chrec2:4197844	841.4	149.7	0.977	-101.259
chrec2:1146307	214.2	12.6	2.569	-101.249
chrec2:711256	246.5	17.9	2.269	-100.808
chrec2:4329873	187.3	9.0	2.873	-100.502
chrec2:2281758	136.3	2.5	4.239	-100.284
chrec2:2189185	184.2	8.5	2.930	-100.094
chrec2:1263760	273.4	23.0	2.060	-99.859
chrec2:29541	148.4	4.0	3.700	-99.616
chrec2:4541236	259.5	21.0	2.115	-99.126
chrec2:3991922	138.2	2.9	4.041	-99.097
chrec2:3238497	245.4	18.3	2.234	-98.611
chrec2:1092935	248.5	19.1	2.189	-98.531
chrec2:2984455	168.9	6.8	3.127	-98.326
chrec2:2947731	231.6	16.3	2.314	-98.310
chrec2:236903	2623.0	649.6	0.501	-98.266
chrec2:637852	158.2	5.4	3.361	-98.216
chrec2:1265248	149.2	4.2	3.621	-97.884
chrec2:1961709	198.2	11.0	2.660	-97.806
chrec2:3354377	126.4	1.9	4.514	-97.511
chrec2:404960	202.0	11.7	2.599	-97.319
chrec2:3188394	136.5	2.8	4.089	-97.313
chrec2:2504078	210.2	13.3	2.468	-97.281
chrec2:3846706	242.4	18.4	2.203	-97.211
chrec2:2702882	269.6	22.8	2.051	-97.162
chrec2:2890840	162.3	6.1	3.226	-96.962
chrec2:3039762	181.7	9.0	2.824	-96.514
chrec2:3071507	211.4	13.6	2.450	-96.366
chrec2:1292891	150.0	4.6	3.517	-96.238
chrec2:3193889	372.0	43.3	1.589	-95.843
chrec2:4078550	220.6	14.7	2.391	-95.818
chrec2:2734731	220.3	14.9	2.372	-95.821
chrec2:3865313	155.4	5.4	3.339	-95.683
chrec2:4281020	219.8	14.8	2.383	-95.084
chrec2:878496	150.4	5.2	3.333	-94.651
chrec2:1472259	152.9	5.4	3.321	-93.974
chrec2:850628	343.9	38.5	1.646	-93.540
chrec2:4478752	225.1	16.4	2.270	-93.255
chrec2:159177	358.8	41.7	1.592	-93.243
chrec2:1290341	185.9	9.8	2.725	-93.174
chrec2:136508	202.7	12.9	2.462	-92.938
chrec2:3475594	221.9	16.0	2.277	-92.611
chrec2:2316782	192.9	11.5	2.552	-92.178
chrec2:641124	126.4	2.8	3.984	-92.159
chrec2:57251	235.3	18.4	2.161	-91.569
chrec2:3787224	352.1	40.7	1.600	-91.153
chrec2:2903129	154.2	6.3	3.104	-91.100
chrec2:1683845	227.1	17.5	2.184	-90.954
chrec2:3478218	232.5	18.0	2.179	-90.893
chrec2:3473384	239.0	19.3	2.114	-90.149
chrec2:454063	136.8	4.0	3.570	-90.014
chrec2:3153941	190.3	11.2	2.571	-89.887
chrec2:2500772	219.8	16.4	2.235	-89.671
chrec2:933572	193.6	12.3	2.469	-89.512
chrec2:1634416	241.4	20.3	2.058	-89.487
chrec2:3705429	173.0	8.9	2.764	-89.359
chrec2:632779	149.6	5.9	3.151	-89.159
chrec2:3676701	323.5	36.0	1.656	-88.883
chrec2:479638	301.6	31.9	1.730	-88.367
chrec2:3082553	216.0	15.9	2.249	-88.301
chrec2:4256072	163.1	8.0	2.829	-88.006
chrec2:1236360	176.1	9.6	2.691	-87.986
chrec2:120	256.4	23.3	1.945	-87.842
chrec2:1005150	122.3	2.7	4.000	-87.661
chrec2:1788867	115.2	2.0	4.351	-87.407
chrec2:4635261	182.0	10.7	2.573	-87.259
chrec2:1864433	323.3	36.1	1.650	-87.261
chrec2:1736089	227.4	18.3	2.121	-86.000
chrec2:2476119	170.5	9.4	2.662	-85.914
chrec2:2225369	202.7	14.7	2.273	-84.960
chrec2:1917869	130.8	4.0	3.523	-84.805
chrec2:1196525	159.8	7.9	2.823	-84.795
chrec2:1227724	181.3	10.9	2.538	-84.760
chrec2:3975665	293.6	31.4	1.711	-84.552
chrec2:662738	185.1	11.8	2.460	-84.414
chrec2:961577	135.1	4.9	3.275	-84.242
chrec2:1390550	117.2	2.8	3.895	-84.065
chrec2:1234639	202.6	14.9	2.254	-83.457
chrec2:729473	147.9	6.6	2.967	-83.167
chrec2:3832171	379.0	49.7	1.417	-83.067
chrec2:1947740	122.6	3.4	3.664	-82.985
